股票代码,股票简称,最新价,最新涨跌幅,所属同花顺行业,主力资金流向[20260402],最新dde大单净额,所属概念,总股本[20260415],市盈率(pe)[20260415],主力买入金额[20260402],主力卖出金额[20260402],market_code,code
300057.SZ,万顺新材,7.28,0.8310249307479294,有色金属-工业金属-铝,5808675.0,-17410172.000,锂电池概念;固态电池;钠离子电池;PET铜箔;宁德时代概念;超级电容;建筑节能;柔性屏(折叠屏);比亚迪概念;光伏概念;OLED;储能;小米概念;华为概念;DeepSeek概念;AI智能体;虚拟数字人;深股通;融资融券,904761616.00,-56.729,51420381.0,45611706.0,33,300057
002615.SZ,哈尔斯,8.5,0.8303677342823285,轻工制造-家居用品-其他家居用品,-5891184.0,6671639.500,露营经济;人民币贬值受益;共同富裕示范区;智能家居;一带一路;星闪概念;三胎概念;回购增持再贷款概念;跨境电商;体育产业;华为概念;数字经济;网红经济;IP经济(谷子经济);鸿蒙概念;NFT概念,559811722.00,984.735,2590084.0,8481268.0,33,002615
688330.SH,宏力达,51.01,0.8302035975489119,电力设备-电网设备-电气自控设备,-5056420.2,-3425056.540,电力物联网;智能电网;量子科技;专精特新;2025年报预增;融资融券,140000000.00,11.180,7533279.8,12589700.0,17,688330
002906.SZ,华阳集团,31.61,0.8293460925039808,汽车-汽车零部件-汽车电子电气系统,-5875849.0,7559864.800,小米汽车;智能座舱;无线充电;汽车热管理;华为汽车;汽车电子;特斯拉概念;飞行汽车(eVTOL);比亚迪概念;毫米波雷达;无人驾驶;长安汽车概念;小米概念;新能源汽车;一体化压铸;星闪概念;机器人概念;宁德时代概念;低空经济;车联网(车路协同);卫星导航;华为概念;共封装光学(CPO);粤港澳大湾区;横琴新区;创投;一带一路;DeepSeek概念;百度概念;深股通;人形机器人;融资融券,524919041.00,21.229,9372650.0,15248499.0,33,002906
300446.SZ,航天智造,20.69,0.8284600389863631,汽车-汽车零部件-车身附件及饰件,-1590421.3000000007,9182186.000,军民融合;军工;海工装备;高端装备;无人驾驶;机器视觉;芯片概念;高铁;智能座舱;华为概念;小米概念;小米汽车;华为汽车;比亚迪概念;专精特新;新能源汽车;长安汽车概念;PCB概念;央企国企改革;光刻胶;国企改革;民爆概念;页岩气;深股通,845410111.00,19.852,19004812.0,20595233.3,33,300446
603927.SH,中科软,17.04,0.8284023668639088,计算机-软件开发-垂直应用软件,-6858504.0,3490100.100,区块链;鸿蒙概念;跨境支付(CIPS);AI智能体;智慧政务;数据要素;数字货币;信创;华为鲲鹏;DeepSeek概念;百度概念;AIGC概念;阿里巴巴概念;数字乡村;数据安全;网络安全;腾讯概念;人工智能;国资云;车联网(车路协同);互联网保险;智能医疗;华为概念;工业互联网;新型工业化;乡村振兴;AI应用;国企改革;中字头股票;融资融券;沪股通,831040000.00,61.268,3917974.0,10776478.0,17,603927
920395.BJ,朗鸿科技,9.75,0.8273009307135478,计算机-计算机设备-安防设备,,,融资融券;华为概念;安防;消费电子概念;华为手机;小米概念,152585704.00,27.399,,,151,920395
300022.SZ,吉峰科技,9.75,0.8273009307135478,商贸零售-零售-专业连锁,28863532.0,-8986031.000,工业大麻;农村电商;中俄贸易概念;西部大开发;乡村振兴;农机;一带一路;氢能源;机器人概念;低空经济,494240380.00,-154.356,93718303.0,64854771.0,33,300022
300869.SZ,康泰医学,13.42,0.8264462809917312,医药生物-医疗器械-医疗设备,-2429995.0,446811.000,幽门螺杆菌概念;宠物经济;三胎概念;医疗器械概念;医药电商;养老概念;智能医疗;跨境电商;血氧仪;人民币贬值受益;智能穿戴;深股通;融资融券,401803327.00,430.236,3195259.0,5625254.0,33,300869
002493.SZ,荣盛石化,12.23,0.8244023083264603,石油石化-石油加工贸易-石油加工,-4434994.0,18743806.000,POE胶膜;煤化工概念;回购增持再贷款概念;一带一路;同花顺中特估100;光伏概念;同花顺漂亮100;深股通;融资融券,9989442254.00,103.132,65923793.0,70358787.0,33,002493
